CONTENT,STAR
"Vừa dùng được 3 ngày. Nói chung là khá thất vọng về camera, chụp ảnh ko đẹp, màu không bắt mắt, độ trễ khi chụp ảnh lớn, quá trình xử lý sau chụp quá lâu, cực kỳ khó chịu về điểm này. Thật thất vọng về con camera 108 MP này. Nếu bạn nào muốn chụp hình đẹp mà trong khoảng giá tiền này nên chọn Oppo reno 2 hoặc Oppo reno x10.",3
"Nói tóm lại là xiaomi dạo này dùng chán camera thì gi 108 mp mà chụp ảnh chả gia gì cam thì quá lồi để rất rễ sước cam ",1
"Giá con này hơi cao nếu giá này nên chọn s10 lite cấu hình hơn con này nhiều chạy chip Qualcomm Snapdragon 855 , các thứ đều ok con này kể cả máy đổi trả ... M.n nên suy ngẫm để lựa chọn phù hợp nhé ....",1
"toàn chip đời thấp, chip 865 k thấy bán, giá vẫn cao ngất ngưỡng, tại sao trong TGDD lại k thấy điện thoại nào có chip mới nhĩ ???",2
"Máy dùng ok, mình dùng được có 13 ngày máy lỗi cảm biến tiệm cận, lại phải mang đi bảo hành. Cũng thấy đáng buồn và thất vọng.",3
"Hơi buồn vì khả năng bắt wifi của Note 10 Pro quá kém, khởi động lên rất chậm. Về cơ bản khá thất vọng về máy này",3
"Chip s730G mức giác 14tr500 có phải chăng quá đắt.nếu xiaomi rộng lượng hơn tí nữa về con chíp chẳng hạn như 845 thì m2cs giá nào ổn",2
"Sản phẩm tệ quá, camera trượt lâu lâu bị vướng không lật hết , vân tay không nhạy mà màn hình quá nhạy (khóa để túi quần tự mở nhảy lung tung) .pin nhanh hết, loa trong quá nhỏ và rè.",1
"Lúc mua nhớ tư vấn cho kĩ. Về xài mới phát hiện gọi video là thoát ra ko thấy hình. Bực mh .mới mua chưa đươc 3 ngày giờ ra đổi .lỗ 2tr2. Cạn lời",1
"Máy bị loạn cảm ứng. Nhảy lung lung. Không thể tưởng tượng được máy gần 15 triệu mà như hàng bỏ đi.
Không thể chấp nhận được",1
"Mình mua được 5 tháng, hiện giờ nói chung ngoài những điểm các bạn chê ra thì camera bắt đầu lỗi ở chỗ khi bật camera selfie thì không mở được hoàn toàn như trước nữa. Trước bật lên cái phẳng lỳ, giờ thì bật không lên hết, lúc được lúc không? Thật không thể tưởng tượng được mình đã mua cái mày này với giá gần 15 triệu đồng. Các bạn fan Samsung nếu có mua thì đừng mua máy này, vì các bạn sẽ hối hận thôi. Trước quảng cáo nghe vẻ camera trước và sau chụp ảnh chất lượng như 1 nhưng thực chất chất lượng khác 1 trời một vực và so với OPPO Reno thì cả 2 camera trước và sau đều thua về chất lượng ảnh.",1
"Mới mua được 1 ngày chỉ muốn đổi sang dòng khác. Loa thoại nghe ko rõ, rè. Muốn nghe rõ thì bật loa ngoài cho cả làng cùng nghe. Bật loa ngoài hay ko bật loa ngoài thì bên kia nghe rè, nghe ko rõ. Mình nói chuyện đt mà phải hét vào loa. Bắt wifi thì kém. Chả lẽ nói tạm biệt với ss và đổi sang dòng khác dùng. Quá tệ. Chưa bao giờ mua máy mới mà lại phải dùng lại máy cũ để dùng",1
"Pin nhah hết cấp sắc bất tiện cầm biến vẫn tay kèm.đề nghị nhà sx cho lời giải thích sớm",2
"Mới mua 3 ngày muốn đổi , loa nghe nhac rè .  cái camera cứ đưa lên đưa xuống  rất bất tiện , ko chọn được ốp lưng để bảo vệ nguyên máy  ,giờ ra trả chắc phải lổ hơn 3tr , ai có ý định mua dòng máy này .thì đừng mua nha .",2
"A80 này sao pin nhanh xuống quá mọi thứ còn lại ok hết không lẻ giờ lại đi đổi mong sớm nhận được phản hồi từ điện máy xanh nhé",3
"Chưa bao giờ mua cái điện thoại nào xong lại hối hận như Galaxy A80. Với cái giá này mà chất lượng máy như thế kia thì không sao ưng nổi. Bắt wifi kém, loa thoại bé. Camera xấu, quay video chế độ siêu ổn định thì không phân biệt nổi người hay ma (hơi quá tý nhưng mà thật đấy), chụp camera trước thì cơ bản là xấu. Camera sau để chế độ 16:9 thì tạm nhưng chụp góc rộng thì phải nói là siêu xấu. Nói chung là chán. 15 củ giờ chát chúa làm sao.",3
"Hối hận khi mua đt này. Bắt wi fi quá kém. Loa kém, nhận cuộc gọi phải mở loa ngoài cả làng cùng đc nghe. Mua 1thang muốn trả Ko biết mất BN tiền",1
"Qui cho cùng con máy A80 này hối hận khi mua( nghe không được khi gọi và nhận cuộc gọi)",1
"Dùng rồi thì chỉ muốn đập,nhất là vân tay thì gần như ko thể mở đc, loa thì gần như ko nghe đc khi đang trên đg",1
"Thất vọng quá nhiều. So với các dòng máy khác cùng giá trị. Nghe gọi không rõ camera thì thường xuyên bị đơ lật ko hết",1
