CONTENT,STAR
"99% ok. chỉ có Wifi là nó bắt hơi yếu, lướt web đọc báo thì được chứ game online là nó lag phát bực, máy khác mình xài ko bị. con này bị như vậy, hơi tiếc.",4
"camera quá tuyệt vời k có chỗ nào chê, còn dùng chip thì mk k chơi game nhiều, thấy vẫn ổn. pin quá trâu, mọi thứ đều ok",5
"Nhận hàng xài rất ok. Cầm máy rất đầm tay. Chụp hình khỏi phải nói rất tuyệt vời.",5
"Chị bán hàng nhiệt tình xinh gái. khi chuyển camera có tiếng kêu không biết lí do tại sao",5
"Đã nhận máy.cảm nhận rất tốt mà phân vân tí là mua xong lại không có miếng dán màn hình theo máy. Giờ chỉ sợ xước màn hình thôi😊 mong TGDD phãn hồi dùm e ạ..",4
"Tuyệt vời, máy rất đỉnh, thiết kế đẹp, camera quá ngon, pin siêu khủng, giống Huawei P30 pro nhưng pin và camera nhỉnh hơn chút và vượt trội S10 và note 10 của Samsung",5
"Chụp hình tốt pin khủng nói chung là rất tuyệt
Như chip 730 thì nó hơi tù với camera ",5
"dùng tốt, chơi game rất sướng, chụp ảnh cũng cực đẹp, ăn đứt note 10+, mọi người tham khảo",5
"Em rất thích sản phản này hơi buồn tý về con chip nhưng ko sao vì em dành khá nhìu thơi gian vào đi làm it chơi game em hài lòng về sảng phảm",5
"Mình mới mua em Note 10 xài được 1 tuần có nhạn xét như sau :
Tuy xài chip Snapdragon 730 nhưng chạy cực mượt đến bất ngờ máy mình ram 6/128
Chụp hình nét căng ,màu rất đẹp khoảng chụp hình ăn Đức samsung Note 10+ vì mình đã test với anh bạn xài ss Note 10+ cùng phòng rồi, pin sạc nhanh khoảng 1h30’ là đầy 
Màn hình phải nói là qua đẹp độ sáng cao ,theo mình cảm nhận dùng sướng hơn samsung nhiều mà giá chỉ bằng 1/2 ss . 

",5
"Giá hơi cao , camera cũng tạm được thôi không quá xuất sắc như mong đợi, cấu hình thì tầm trung máy gần 4 triệu là có rồi, nếu máy sử dụng chip snapdragon 855 plus thì mới xứng đáng..... ",5
"Trông cũng đc. Giảm xuống 10 củ thì mua chứ 14 thì hơi cao. Chắc chờ thêm thôi hoặc đợi năm mới có 5G",4
"Điện Thoại sài ok lắm.. cam đẹp  chơi game bao mạnh. Pin thì hơi ít..màng hình quá đẹp",5
