cau_goc,nhan
"cam ơn shop nhiều lam, e nhận dc máy rồi,  sài ok lam, 😄😄😄😄",1
Ngon như ăn cà,1
"Ve ngoai hinh khoang 96℅,mat kinh truoc va sau may co vet xuoc.loa e nay hoi be,xet ve gia tien oke.mih dung chi nghe goi,quan trong ben la oke.",1
"lỗi vào 4G, phải khởi động lại máy thì mới chuyển E thành 4G, chuyển địa điểm khác bật 4G lên hiện E thì khởi động lại tiếp thì ok",0
"Đã mua và nhận xét : ngoại hình khá, màn hình rất rỗ, ý kiến cá nhân mình thì nên bỏ cam trước và tăng độ phân giải màn hình lên tí nữa vì cam trước độ phân giải quá thấp nên chẳng mấy ai chụp hình với nó cả ",0
Máy bị lỗi giải quyết như thế nào shop oi.,0
"Máy lướt web mau nóng máy,mặt lưng bám vân tay khá nhiều,cầm trơn trượt rất dễ rơi.pin mau hết..hơi thất vọng ",0
Sai lầm khi mua máy này. Sản phẩm bị lỗi quá nhiều. Đơ liên tục.ra tgdd họ k đổi cho mình đập luôn máy tại cửa hàng vì sản phẩm lừa khách hàng.k phát trực tiếp trên face.pjn 5k mà k bằng pin 2k.sắc mặt 5 tiếng .dùng chưa đến 2 tương hết pin,0
Máy xài rất ok Với giá tiền vậy thì khg chê vào đâu,1
"Đôi lúc có vẻ máy phản hồi cảm ứng hơi bị đơ, Hay cảm ứng kém thì không rõ nhưng thao tác hơi bị ức chế. Về cảm biến vân tay thì cực ức chế, cực kỳ kém nhạy. Tối đa ba vân tay chỉ ép cho một ngón thì cũng chỉ cải thiện đc 50%, vẫn 4  - 5 lần mới mở đc máy. Một số app thông dụng chạy tí thì  có phát sinh lỗi. Thiết kế và cảm nhận thì ko như kỳ vọng. Đc cái sạc nhanh, game vừa vẫn ổn. ",0
"Chơi game không được mướt 
Pin không trâu lắm.
Tầm 6 tr 9 thì vừa camera chụp tối ",0
Sản phẩm tuyệt vời đúng như quảng cáo trên trang web,1
Hàng đóng gói cẩn thận giao hàng nhanh. Hiện tại xài rất OK cho shop 5 sao,1
"Chất lượng tốt so với giá, nghe gọi to rõ, sóng ổn.",1
sản phẩm tốt hơn mong đợi  máy rất đẹp chiến game  khá mượt mà mà  pin lại trâu nói chung là rat hài lòng  lãnh lương sẻ mua thêm 1cai nữa cho e  tks nhé,1
"Ko s.dụng nhiều, nên ko rõ cái lỗi của pin. Nhưng: CAM selfie xấu lắm, 4G hay LTE chỉ xài đc từ SIM2 còn SIM1 không, loa ngoài có lúc to lúc nhỏ, cái thanh cuộn trên xuống hôm rồi bị tràng mất 1 phần rìa (nay thì ko bị nữa) ưu điểm có nhưng ko nhiều. ",0
Mua máy về xài mang thêm bệnh tức.thua đồ TQ. Xài lâu thêm hại thân do amoled xuống cấp làm hại mắt. Samsung xưa xài ok giờ xài lỗi liên tục .ai mún mua nên suy nghĩ kĩ lại.đừng vì thương hiệu mà lầm.đồ nào cũng xài đc quan trọng cái nào đáp ứng đúng nhu cầu.mua con này về tức thêm,0
Phải chỉnh sim lệch sang trái như này mới nhận sim. Máy dùng ngon nhé. Shop phục vụ nhiệt tình 😆😆,1
"Gửi rất cẩn thận ạ , máy rất đẹp ,rất hài lòng ",1
"Lúc đầu sài thấy ổn, chỉ pin tụt nhanh, cảm ứng bàn phím hay bị lỗi văng ra ngoài, hay bị đơ khi chat face, zalo, nhận cuộc gọi khi đang chat, sóng wifi thì ổn, 4G thì tào lao quá so với các sản phẩm cùng tầm giá, chụp hình bông hoa, phong cảnh lúc đưa vào camera màu sắc rất đẹp, nhưng khi xem hình thì 7/10 với lúc chụp.",0
5 sao cho chất lượng. Shop giao hàng nhanh và đc xem hàng. Mua đợt slae nên tiết kiệm được thùng mỳ haha,1
không hài lòng khi sử dụng điện thoại lv118. chưa dùnng được 2 tiếng mà đã không còn xí pin.,0
Đẹp,1
"điện thoại mọi thứ đều ổn trừ cổng sạc quá lởm 
cắm sạc thì lúc vào lúc không 
quá uổng tiền",0
"Nhận hàng full hộp ,mọi thứ hoàn hảo",1
"Máy dùng đc 1 tuần khá là ok . nhưng chất lượng âm thanh hơi kém . loa nhỏ , âm thanh qua tai nghe k đc đã tai , kiểu vọng ",0
Sp lỗi không lên nguồn! Đã gửi trả theo địa chỉ nhưng chưa có phản hồi,0
E lại 1 lần nữa xl phiền đến a chị . Nhưng e thật sự thấy sai lầm khi mua máy này r . E muốn có lời giải đáp . Bắt wifi thì giật . Chơi game như mấy cái máy cùi . Bắn pupg r là liên quân . Freef cũng giật k bắn đc . Mai e pk lên thế giới Di Động coi là chứ e k thể bỏ 5tr ra mà dùng con máy thế này đc,0
mua con a50 đầu tiên bị lỗi.tgdd đợi chờ 1 con mới về xài 3 tháng lỗi tiếp.đang xem tắt màn hình dù k nóng pjn hay gì hết.nhân viên gởi bhanh máy.nói máy k khởi động được.rồi nói máy cong nhẹ.xin hỏi các bạn cái dt nó cũng như cục đá.ngta mới mua về nâng niu như trứng mua cái ốp lưng hết 250k so bì rớt máy.hỏi mấy cong nhẹ là do gì chẳng lẽ mình bẻ đc cái dt chỉ có là do máy thiết kế bị lỗi thôi.nên t báo gởi máy bhanh đi xem thợ chuyên nghiệp ngta nói sao chứ thật lòng quả thật dòng về con a50 già 8tr chứ pit gì.bgjo ngồi đợi bhanh kiếm cái cúi bắp xài coi có tức k.đang rất bực mjnh.,0
Điện thoại tuyệt vời,1
"Đã nhận hàng. Bước đầu thì thấy máy xài ok. Chưa dùng lâu dài nên chưa biết. Nhưng shop thì thân thiện,nhiệt tình.giao hàng nhanh",1
hàng ổn pin thì cần test và pin hơi yếu vì đã sạc hơn 1000 lần,1
màn hình của may trây hêt chon.con chưa đc unlock tiếng việt nua .xấu nó chỉ xứng voi 1sao ma thoi.,0
Cục sạc điểu ghim vô nổ cái tưởng theo ông bà luôn rồi. Gọi kêu shop gửi lại cục khác thì kêu ship ngược lại cho shop xem. thằng shop này chắc có cổ phần với cty ship hàng. Gửi lên vậy để bố đi mua cho nhanh!,0
"Máy đẹp keng, shop nhiệt tình",1
"Máy Móc chất lượng, chính hãng. Rất tin tưởng ",1
"hơi giật lãng vì ram chỉ có 3Gb, màn hình Always on ban đầu tưởng như khá hữu ích nhưng hay bị lỗi nằm ngang màn hình dù đang cầm đứng rất khó chịu, cảm biến vân tay vác hình cầu khó vuốt, nhận diện khuôn mặt ở mức dùng được, bắt wifi hay 4g hơi yếu, màn hình hơi ám vàng, bàn phím nhỏ khó bấm hơn bên Huawei.
Tóm lại: máy thích hợp cho người dùng phổ thông, ít tùy biến, icon to phù hợp cho người lớn tuổi, điểm yếu lớn nhất của máy là ở ram chỉ có 3Gb nên không thích hợp cho ai mua máy này để chơi game, riêng mình thì thích chiếc Huawei nova 3i hơn, sử dụng rất thích.",0
"Hàng tốt, chính hãng fpt",1
Shop gửi sai màu vs vân k len dc..ghép sim cx k lên,0
"rất hài lòng về sản phẩm, shop bán hàng chuẩn và ok, phục vụ tốt lắm!",1
"Máy dùng tốt, chạy rất mượt.ok",1
"Mua hôm qua, giữa lòng thành phố khi mà máy cũ của mình 4 vạch sóng căng vào mạng m ầm thì máy mới 2 vạch, vào mạng cứ đơ ra. Xong vào youtube thì tự nhiên khởi động lại máy. Mang tiếng ram 6g mà dùng không ra gì hết",0
"Ai mua samsung hiện nay nên suy nghĩ căn nhắc lại đặt biệt là a50, bắt sóng thua cái 1280, mua về tốn tiền ngu đi đổi lại mất 20%🤣.",0
Rất hài lòng về phục vụ,1
Hang tot,1
"mọi thứ có vẻ ổn , nhưng lỗi Messenger không thể khắc phục như ý được, messenger không tải được nhãn dán",1
Cho mình hỏi tgian bảo hành pin máy. Mình mua đc 5 tháng pin xuống cấp quá. Trước kia dùng pin khoẻ. Mấy hnay dùng xuống quá nhanh.,0
"camera xấu, hở sáng màn hình nhưng cũng không ảnh hưởng đến trải nghiệm gì mấy. Chơi game bị lỗi wifi, sau 1 hồi test thì phát hiện lỗi này. Cách fix lỗi cho m.n
Vào cài đặt => quản lý ứng dụng => chọn game bạn tải về => tiết kiệm pin và đổi thành không hạn chế",0
Pin chai quá yếu ,0
